,Label
1220,2
1221,0
1222,0
1223,5
1224,0
1225,5
1226,9
1227,9
1228,9
1229,9
1230,5
1231,4
1232,3
1233,0
1234,5
1235,4
1236,1
1237,9
1238,5
1239,4
1240,9
1241,9
1242,5
1243,7
1244,8
1245,2
1246,4
1247,7
1248,4
1249,3
1250,5
1251,6
1252,6
1253,0
1254,1
1255,5
1256,5
1257,7
1258,6
1259,5
1260,3
1261,1
1262,7
1263,9
1264,2
1265,2
1266,6
1267,9
1268,9
1269,8
1270,1
1271,1
1272,5
1273,1
1274,3
1275,0
1276,4
1277,0
1278,2
1279,7
1280,6
1281,1
1282,4
1283,7
1284,0
1285,7
1286,1
1287,0
1288,3
1289,1
1290,1
1291,9
1292,8
1293,4
1294,6
1295,5
1296,9
1297,8
1298,6
1299,8
1300,6
1301,6
1302,6
1303,1
1304,1
1305,4
1306,0
1307,7
1308,8
1309,0
1310,4
1311,6
1312,7
1313,9
1314,5
1315,9
1316,6
1317,2
1318,4
1319,7
1320,5
1321,9
1322,8
1323,5
1324,1
1325,8
1326,0
1327,9
1328,6
1329,8
1330,1
1331,3
1332,6
1333,3
1334,1
1335,9
1336,1
1337,4
1338,5
1339,8
1340,2
1341,0
1342,9
1343,1
1344,3
1345,3
1346,0
1347,5
1348,6
1349,1
1350,8
1351,3
1352,6
1353,7
1354,2
1355,3
1356,2
1357,9
1358,2
1359,1
1360,5
1361,9
1362,8
1363,7
1364,3
1365,8
1366,4
1367,5
1368,8
1369,2
1370,1
1371,6
1372,7
1373,6
1374,1
1375,1
1376,0
1377,5
1378,0
1379,9
1380,1
1381,7
1382,4
1383,0
1384,9
1385,7
1386,5
1387,9
1388,8
1389,8
1390,7
1391,5
1392,4
1393,8
1394,7
1395,9
1396,4
1397,7
1398,2
1399,7
1400,4
1401,1
1402,5
1403,8
1404,2
1405,3
1406,5
1407,9
1408,8
1409,4
1410,5
1411,9
1412,2
1413,5
1414,1
1415,1
1416,3
1417,7
1418,5
1419,1
1420,7
1421,9
1422,2
1423,3
1424,6
1425,8
1426,8
1427,5
1428,0
1429,8
1430,8
1431,4
1432,7
1433,1
1434,9
1435,6
1436,8
1437,9
1438,4
1439,9
1440,9
1441,6
1442,3
1443,2
1444,7
1445,4
1446,8
1447,0
1448,4
1449,9
1450,5
1451,8
1452,8
1453,9
1454,0
1455,9
1456,0
1457,9
1458,7
1459,0
1460,8
1461,5
1462,3
1463,3
1464,6
1465,2
1466,5
1467,3
1468,1
1469,7
1470,3
1471,1
1472,0
1473,6
1474,5
1475,9
1476,3
1477,3
1478,9
1479,4
1480,8
1481,8
1482,7
1483,6
1484,4
1485,4
1486,0
1487,7
1488,9
1489,9
1490,6
1491,7
1492,3
1493,8
1494,9
1495,5
1496,0
1497,8
1498,6
1499,0
1500,3
1501,0
1502,1
1503,8
1504,3
1505,8
1506,6
1507,0
1508,1
1509,3
1510,0
1511,7
1512,3
1513,6
1514,9
1515,2
1516,3
1517,1
1518,9
1519,7
1520,9
1521,5
1522,9
1523,9
1524,1
1525,1
1526,5
1527,8
1528,3
1529,2
1530,5
1531,4
1532,1
1533,8
1534,4
1535,0
1536,7
1537,0
1538,1
1539,0
1540,0
1541,7
1542,1
1543,3
1544,5
1545,5
1546,9
1547,9
1548,7
1549,9
1550,4
1551,6
1552,8
1553,1
1554,9
1555,2
1556,7
1557,4
1558,8
1559,5
1560,0
1561,5
1562,9
1563,4
1564,7
1565,5
1566,0
1567,1
1568,7
1569,9
1570,6
1571,3
1572,0
1573,8
1574,7
1575,5
1576,2
1577,6
1578,1
1579,7
1580,2
1581,3
1582,8
1583,8
1584,1
1585,4
1586,6
1587,2
1588,4
1589,0
1590,2
1591,3
1592,6
1593,3
1594,8
1595,2
1596,9
1597,1
1598,8
1599,2
1600,5
1601,8
1602,7
1603,7
1604,6
1605,2
1606,0
1607,3
1608,2
1609,8
1610,1
1611,5
1612,4
1613,3
1614,3
1615,1
1616,9
1617,3
1618,2
1619,1
1620,1
1621,8
1622,6
1623,1
1624,9
1625,4
1626,4
1627,9
1628,6
1629,6
1630,7
1631,5
1632,9
1633,6
1634,6
1635,1
1636,0
1637,7
1638,8
1639,8
1640,8
1641,3
1642,7
1643,7
1644,7
1645,1
1646,4
1647,6
1648,1
1649,0
1650,0
1651,1
1652,7
1653,7
1654,8
1655,8
1656,9
1657,8
1658,2
1659,4
1660,8
1661,1
1662,3
1663,5
1664,1
1665,3
1666,3
1667,6
1668,6
1669,5
1670,8
1671,8
1672,5
1673,4
1674,5
1675,9
1676,8
1677,2
1678,0
1679,1
1680,3
1681,3
1682,5
1683,6
1684,8
1685,3
1686,6
1687,1
1688,3
1689,3
1690,7
1691,1
1692,5
1693,6
1694,5
1695,1
1696,7
1697,4
1698,5
1699,9
1700,0
1701,2
1702,8
1703,0
1704,9
1705,1
1706,3
1707,0
1708,8
1709,0
1710,7
1711,7
1712,1
1713,5
1714,9
1715,4
1716,9
1717,7
1718,0
1719,3
1720,1
1721,3
1722,3
1723,6
1724,2
1725,4
1726,2
1727,1
1728,6
1729,5
1730,9
1731,3
1732,4
1733,1
1734,9
1735,4
1736,0
1737,3
1738,5
1739,1
1740,0
1741,0
1742,5
1743,3
1744,9
1745,4
1746,9
1747,1
1748,0
1749,0
1750,5
1751,7
1752,1
1753,6
1754,8
1755,3
1756,7
1757,0
1758,3
1759,8
1760,2
1761,8
1762,6
1763,7
1764,9
1765,1
1766,8
1767,4
1768,5
1769,3
1770,1
1771,3
1772,2
1773,2
1774,5
1775,3
1776,8
1777,8
1778,2
1779,7
1780,4
1781,1
1782,5
1783,7
1784,0
1785,6
1786,6
1787,2
1788,3
1789,2
1790,2
1791,9
1792,1
1793,9
1794,6
1795,9
1796,2
1797,2
1798,6
1799,0
1800,4
1801,0
1802,0
1803,0
1804,0
1805,3
1806,0
1807,4
1808,3
1809,6
1810,7
1811,8
1812,6
1813,0
1814,5
1815,1
1816,8
1817,5
1818,6
1819,0
1820,2
1821,7
1822,1
1823,1
1824,3
1825,9
1826,9
1827,3
1828,0
1829,3
1830,5
1831,9
1832,6
1833,8
1834,3
1835,1
1836,0
1837,0
1838,9
1839,0
1840,6
1841,6
1842,2
1843,4
1844,3
1845,0
1846,2
1847,7
1848,1
1849,5
1850,8
1851,5
1852,8
1853,8
1854,4
1855,7
1856,4
1857,3
1858,6
1859,5
1860,7
1861,3
1862,1
1863,6
1864,7
1865,1
1866,3
1867,1
1868,5
1869,3
1870,1
1871,5
1872,2
1873,2
1874,6
1875,9
1876,0
1877,2
1878,1
1879,2
1880,7
1881,4
1882,4
1883,9
1884,3
1885,0
1886,4
1887,5
1888,1
1889,9
1890,6
1891,9
1892,7
1893,6
1894,5
1895,0
1896,1
1897,1
1898,3
1899,8
1900,4
1901,0
1902,0
1903,0
1904,3
1905,7
1906,9
1907,8
1908,8
1909,9
1910,3
1911,1
1912,5
1913,0
1914,9
1915,1
1916,7
1917,9
1918,0
1919,5
1920,9
1921,0
1922,6
1923,9
1924,2
1925,4
1926,2
1927,1
1928,9
1929,4
1930,4
1931,2
1932,8
1933,6
1934,5
1935,6
1936,1
1937,1
1938,5
1939,9
1940,3
1941,9
1942,7
1943,0
1944,7
1945,6
1946,5
1947,8
1948,6
1949,6
1950,0
1951,7
1952,4
1953,5
1954,3
1955,7
1956,7
1957,8
1958,5
1959,5
1960,1
1961,5
1962,3
1963,6
1964,8
1965,3
1966,6
1967,1
1968,9
1969,3
1970,0
1971,9
1972,4
1973,9
1974,5
1975,8
1976,4
1977,0
1978,9
1979,3
1980,0
1981,9
1982,4
1983,6
1984,4
1985,0
1986,2
1987,0
1988,1
1989,7
1990,5
1991,9
1992,8
1993,7
1994,8
1995,6
1996,2
1997,0
1998,3
1999,5
2000,7
2001,8
2002,6
2003,1
2004,6
2005,7
2006,2
2007,9
2008,9
2009,7
2010,1
2011,1
2012,4
2013,1
2014,6
2015,6
2016,7
2017,0
2018,8
2019,4
2020,7
2021,0
2022,9
2023,4
2024,6
2025,2
2026,6
2027,8
2028,3
2029,2
2030,9
2031,6
2032,5
2033,2
2034,5
2035,8
2036,5
2037,6
2038,3
2039,2
2040,2
2041,7
2042,9
2043,3
2044,4
2045,9
2046,2
2047,8
2048,0
2049,2
2050,4
2051,0
2052,9
2053,4
2054,5
2055,8
2056,8
2057,9
2058,3
2059,3
2060,5
2061,9
2062,0
2063,7
2064,0
2065,5
2066,5
2067,2
2068,9
2069,1
2070,9
2071,9
2072,4
2073,6
2074,4
2075,6
2076,8
2077,9
2078,0
2079,0
2080,8
2081,8
2082,1
2083,6
2084,8
2085,2
2086,2
2087,2
2088,2
2089,5
2090,5
2091,7
2092,3
2093,3
2094,5
2095,9
2096,6
2097,2
2098,3
2099,4
2100,3
2101,7
2102,7
2103,7
2104,2
2105,6
2106,6
2107,1
2108,5
2109,8
2110,0
2111,6
2112,7
2113,6
2114,2
2115,2
2116,4
2117,0
2118,6
2119,2
2120,1
2121,7
2122,2
2123,5
2124,7
2125,5
2126,6
2127,2
2128,0
2129,6
2130,8
2131,2
2132,4
2133,4
2134,5
2135,1
2136,6
2137,8
2138,1
2139,4
2140,6
2141,6
2142,1
2143,5
2144,2
2145,5
2146,5
2147,0
2148,1
2149,1
2150,4
2151,7
2152,0
2153,3
2154,6
2155,5
2156,0
2157,5
2158,2
2159,0
2160,8
2161,9
2162,1
2163,5
2164,7
2165,3
2166,3
2167,6
2168,1
2169,6
2170,5
2171,9
2172,5
2173,2
2174,0
2175,7
2176,9
2177,0
2178,2
2179,7
2180,4
2181,4
2182,6
2183,0
2184,4
2185,6
2186,8
2187,9
2188,1
2189,7
2190,4
2191,7
2192,9
2193,4
2194,7
2195,4
2196,8
2197,5
2198,9
2199,5
2200,5
2201,1
2202,9
2203,3
2204,6
2205,4
2206,0
2207,2
2208,6
2209,5
2210,8
2211,0
2212,4
2213,2
2214,1
2215,2
2216,6
2217,7
2218,3
2219,7
2220,7
2221,1
2222,5
2223,5
2224,4
2225,0
2226,1
2227,4
2228,2
2229,1
2230,1
2231,4
2232,2
2233,2
2234,1
2235,1
2236,7
2237,9
2238,4
2239,8
2240,0
2241,8
2242,9
2243,3
2244,8
2245,9
2246,4
2247,6
2248,3
2249,3
2250,3
2251,9
2252,0
2253,3
2254,6
2255,9
2256,1
2257,4
2258,6
2259,0
2260,6
2261,0
2262,5
2263,0
2264,0
2265,1
2266,8
2267,0
2268,4
2269,2
2270,0
2271,1
2272,5
2273,3
2274,9
2275,5
2276,7
2277,6
2278,8
2279,8
2280,7
2281,9
2282,0
2283,3
2284,2
2285,6
2286,0
2287,5
2288,6
2289,9
2290,6
2291,5
2292,4
2293,2
2294,1
2295,4
2296,3
2297,6
2298,4
2299,8
2300,7
2301,2
2302,2
2303,0
2304,3
2305,4
2306,5
2307,3
2308,3
2309,1
2310,6
2311,4
2312,5
2313,9
2314,7
2315,0
2316,1
2317,2
2318,5
2319,3
2320,2
2321,6
2322,4
2323,2
2324,5
2325,9
2326,3
2327,4
2328,6
2329,3
2330,5
2331,8
2332,2
2333,8
2334,9
2335,8
2336,7
2337,3
2338,3
2339,9
2340,9
2341,4
2342,6
2343,7
2344,3
2345,6
2346,9
2347,9
2348,6
2349,6
2350,0
2351,9
2352,4
2353,8
2354,9
2355,4
2356,1
2357,7
2358,2
2359,8
2360,5
2361,0
2362,5
2363,6
2364,7
2365,1
2366,8
2367,0
2368,8
2369,0
2370,3
2371,2
2372,2
2373,4
2374,2
2375,1
2376,1
2377,6
2378,7
2379,6
2380,7
2381,5
2382,3
2383,6
2384,6
2385,3
2386,4
2387,3
2388,7
2389,8
2390,8
2391,7
2392,0
2393,0
2394,7
2395,7
2396,1
2397,6
2398,0
2399,3
2400,1
2401,9
2402,8
2403,6
2404,1
2405,7
2406,0
2407,1
2408,0
2409,5
2410,4
2411,9
2412,0
2413,1
2414,9
2415,0
2416,9
2417,7
2418,4
2419,2
2420,2
2421,5
2422,5
2423,0
2424,0
2425,5
2426,9
2427,4
2428,3
2429,4
2430,2
2431,5
2432,0
2433,0
2434,3
2435,1
2436,3
2437,5
2438,9
2439,0
2440,1
2441,9
2442,5
2443,9
2444,8
2445,2
2446,3
2447,3
2448,4
2449,4
2450,1
2451,0
2452,8
2453,3
2454,5
2455,5
2456,6
2457,9
2458,1
2459,9
2460,8
2461,7
2462,0
2463,3
2464,3
2465,8
2466,1
2467,0
2468,3
2469,3
2470,9
2471,7
2472,3
2473,1
2474,9
2475,6
2476,3
2477,3
2478,4
2479,0
2480,2
2481,1
2482,3
2483,9
2484,5
2485,1
2486,7
2487,9
2488,7
2489,9
2490,6
2491,1
2492,5
2493,6
2494,6
2495,9
2496,0
2497,4
2498,2
2499,2
2500,4
2501,3
2502,7
2503,6
2504,4
2505,1
2506,4
2507,2
2508,4
2509,1
2510,0
2511,2
2512,2
2513,1
2514,0
2515,2
2516,7
2517,2
2518,6
2519,0
2520,2
2521,0
2522,2
2523,0
2524,0
2525,5
2526,0
2527,3
2528,3
2529,0
2530,6
2531,6
2532,4
2533,1
2534,5
2535,9
2536,2
2537,4
2538,5
2539,4
2540,1
2541,1
2542,3
2543,0
2544,1
2545,1
2546,5
2547,0
2548,2
2549,9
2550,7
2551,3
2552,6
2553,8
2554,7
2555,8
2556,8
2557,7
2558,2
2559,6
2560,9
2561,4
2562,5
2563,7
2564,1
2565,3
2566,6
2567,0
2568,9
2569,9
2570,4
2571,6
2572,8
2573,6
2574,4
2575,1
2576,0
2577,3
2578,3
2579,0
2580,1
2581,8
2582,9
2583,5
2584,5
2585,7
2586,7
2587,3
2588,4
2589,6
2590,2
2591,9
2592,3
2593,0
2594,7
2595,2
2596,8
2597,8
2598,2
2599,4
2600,0
2601,6
2602,9
2603,8
2604,3
2605,9
2606,2
2607,0
2608,1
2609,6
2610,7
2611,7
2612,5
2613,4
2614,6
2615,8
2616,9
2617,6
2618,1
2619,3
2620,3
2621,5
2622,2
2623,1
2624,6
2625,4
2626,1
2627,9
2628,9
2629,6
2630,0
2631,6
2632,4
2633,5
2634,9
2635,4
2636,9
2637,4
2638,2
2639,2
2640,3
2641,1
2642,6
2643,2
2644,8
2645,7
2646,2
2647,8
2648,4
2649,7
2650,4
2651,1
2652,0
2653,1
2654,9
2655,0
2656,7
2657,4
2658,9
2659,0
2660,9
2661,2
2662,9
2663,0
2664,3
2665,6
2666,7
2667,4
2668,3
2669,7
2670,0
2671,2
2672,8
2673,5
2674,4
2675,4
2676,2
2677,4
2678,5
2679,2
2680,6
2681,6
2682,8
2683,8
2684,6
2685,7
2686,4
2687,1
2688,4
2689,8
2690,3
2691,2
2692,5
2693,9
2694,0
2695,9
2696,0
2697,1
2698,4
2699,9
2700,7
2701,7
2702,3
2703,9
2704,5
2705,3
2706,1
2707,9
2708,2
2709,6
2710,7
2711,7
2712,1
2713,0
2714,5
2715,1
2716,6
2717,8
2718,8
2719,6
2720,7
2721,3
2722,7
2723,2
2724,8
2725,5
2726,5
2727,0
2728,5
2729,1
2730,6
2731,6
2732,6
2733,9
2734,9
2735,1
2736,6
2737,9
2738,8
2739,5
2740,3
2741,7
2742,7
2743,8
2744,1
2745,4
2746,7
2747,0
2748,4
2749,0
2750,3
2751,4
2752,3
2753,1
2754,9
2755,6
2756,3
2757,0
2758,0
2759,2
2760,8
2761,9
2762,8
2763,1
2764,1
2765,8
2766,1
2767,3
2768,2
2769,3
2770,1
2771,0
2772,5
2773,8
2774,5
2775,0
2776,7
2777,2
2778,0
2779,6
2780,1
2781,8
2782,1
2783,1
2784,8
2785,2
2786,2
2787,6
2788,1
2789,7
2790,9
2791,7
2792,6
2793,7
2794,5
2795,1
2796,9
2797,6
2798,2
2799,7
2800,6
2801,4
2802,4
2803,4
2804,0
2805,8
2806,2
2807,0
2808,8
2809,6
2810,4
2811,8
2812,1
2813,9
2814,2
2815,9
2816,5
2817,1
2818,5
2819,1
2820,1
2821,4
2822,7
2823,0
2824,1
2825,2
2826,4
2827,6
2828,1
2829,9
2830,2
2831,9
2832,2
2833,9
2834,2
2835,6
2836,6
2837,5
2838,5
2839,5
2840,8
2841,5
2842,6
2843,1
2844,1
2845,6
2846,1
2847,2
2848,1
2849,9
2850,4
2851,7
2852,6
2853,7
2854,1
2855,0
2856,6
2857,4
2858,6
2859,5
2860,3
2861,3
2862,4
2863,0
2864,1
2865,1
2866,6
2867,0
2868,5
2869,1
2870,2
2871,1
2872,6
2873,4
2874,3
2875,9
2876,0
2877,4
2878,0
2879,3
2880,1
2881,4
2882,9
2883,2
2884,1
2885,7
2886,5
2887,9
2888,6
2889,8
2890,5
2891,8
2892,6
2893,0
2894,8
2895,7
2896,9
2897,9
2898,3
2899,1
2900,3
2901,4
2902,3
2903,1
2904,1
2905,2
2906,0
2907,0
2908,7
2909,2
2910,8
2911,1
2912,6
2913,0
2914,6
2915,7
2916,4
2917,2
2918,6
2919,7
2920,2
2921,2
2922,8
2923,9
2924,9
2925,4
2926,2
2927,7
2928,7
2929,2
2930,8
2931,1
2932,7
2933,7
2934,3
2935,7
2936,8
2937,7
2938,2
2939,5
2940,6
2941,1
2942,9
2943,7
2944,7
2945,7
2946,8
2947,9
2948,9
2949,7
2950,8
2951,9
2952,5
2953,2
2954,9
2955,5
2956,0
2957,7
2958,6
2959,1
2960,6
2961,5
2962,2
2963,7
2964,5
2965,5
2966,6
2967,9
2968,5
2969,8
2970,8
2971,2
2972,2
2973,9
2974,7
2975,9
2976,5
2977,1
2978,1
2979,1
2980,4
2981,5
2982,6
2983,1
2984,7
2985,0
2986,7
2987,9
2988,2
2989,7
2990,2
2991,3
2992,1
2993,5
2994,7
2995,1
2996,5
2997,1
2998,6
